statement	agree	disagree
It's bad to look like a slob when you take your partner on a date.	9	7
Partners are expected discuss their marriage issues and work them out.	8	7
Pirating music brings music to people who would normally not be able to afford it.	10	10
It is expected that friends will enjoy being around each other.	4	6
To be a friend you must first show yourself friendly.	7	8
It is rude to lock a guest outside.	6	5
It's important to feel safe and secure with your family.	8	6
It's understandable that sometimes people don't always follow exact procedures.	6	8
You should let labor disputes be handled by professionals.	8	7
It's okay to want privacy.	8	6
It is okay to not ask your boyfriend first if he does not care.	4	2
It's mean to give someone a gift that isn't real.	6	5
It's good to change your life.	6	5
Going to the beach is a great way for friends to enjoy spending time together.	6	9
If you see something that isn't yours, you shouldn't pick it up.	4	6
Roommate's should contribute equally to the pets in a household.	5	8
It is expected for step-children to leave the house.	4	6
You should help others when they ask you for a favor.	4	6
It's bad to forget special moments in your life.	8	5
It's commendable if you can tolerate the aspects of your partner that you don't like.	5	6
It would be rude to not tell someone you are dating that you are in an open relationship.	4	4
It's good to use what you already have.	7	4
It is understandable to be disappointed when you have high expectations.	3	6
It is acceptable to join dating sites in order to meet men.	5	8
It's understandable if you're embarrassed when you like anime.	4	6
It's normal to not want to discuss certain things with your doctor.	5	6
It's good to give gifts to people.	8	8
It is good to accommodate peoples allergies if you can.	6	5
It's fine to be happy after wining a championship.	6	5
You should attend events you are invited to.	5	5
It's wrong to steal to pay off a debt.	7	5
It's good to have friends who will comfort you when you're sick.	5	4
It's understandable to be miserable even though you feel lucky in life.	7	6
You should be honest with your family about their partner.	6	4
People should take all the time they need to get over a tough breakup.	8	6
It is uncommon to need a specific technique to fall asleep.	9	9
You can be expected to laugh at something that was meant to be a joke.	5	5
It is good to look back on nice moments with photos.	7	6
It's okay to get a new relationship if you have kids.	5	7
It is wrong to destroy someone else's property.	9	8
It is okay to be silent.	10	10
It's good to cut off nosy family members.	6	4
You shouldn't put all your work onto your partner.	8	9
It's good to have standards that are not as high as they can be.	3	8
People should take good car of their car to keep it looking nice.	3	4
You shouldn't expect people to accept your apology.	9	6
You should be there for others.	3	5
You are allowed to be afraid when somebody tries to kidnap you.	6	4
It's wrong to give up on things.	6	7
You are expected to do what you are told.	8	8
It is dishonest to take credit for work that you did not do on your own.	6	8
It's expected that people will get along with their partner's family.	6	7
It's bad to hold grudges against someone you love.	6	6
It is rude to ask someone to buy something for you.	9	7
It's important to water your plants.	6	8
Grandparents are expected to have a lot of patience with their grandkids.	7	8
You shouldn't walk around with untied shoelaces.	6	6
It is expected that you do things.	7	9
It's okay to not want to see your grandparents.	7	4
It is wrong to have an affair if you are married.	8	5
You should always sit down if you're tired.	8	2
It is good to care for your pets.	7	5
If you are mad at your partner you are expected to talk to them about the issues and try and resolve them.	4	4
You should try to be understanding of people's financial situation.	3	6
You should be respectful of other people's likes and dislikes.	5	5
It's bad to sign up for a service you won't use.	4	6
You shouldn't expect people to attend prom with a date all the time.	10	10
It's good to be a hard worker.	8	5
You should care about the happiness of your parents.	5	9
It is good to find out things will be fine.	4	3
It is wrong to knowingly transmit diseases to other people	7	6
It's understandable to be depressed about the state of your life.	8	4
You should sell your engagement ring once you break up with someone.	6	6
You shouldn't bully people.	6	4
It is good to stop drinking at a reasonable level.	8	5
It is good to have fun.	7	4
It is okay to seek medical advice.	10	6
You are expected to provide good service to customers.	3	7
If you don't want your colleagues to know things about you, you should keep those things to yourself.	3	4
It's expected that more mature people have little tolerance for being told what to do by those younger than themselves.	6	5
It's okay to be nervous about tests.	6	5
It's understandable to have trust issues with your significant other.	4	6
It's insensitive to ask strangers their height.	6	9
It's okay to be mad if your friend treats you badly.	6	4
It's okay to be excited about finding a rare piece of something	3	7
It's okay to want your partner to do more chores.	7	4
It is common to go to work for several hours at at time.	7	5
Demanding your brother get help for his problems is a smart thing to do.	10	10
If you suspect someone is sick, you should talk to them.	5	6
It's wrong to enjoy listening to Nickelback.	9	7
It's good to store your wedding pictures on an external drive.	9	7
Your ex's business is no longer your concern.	8	8
It's bad to think you're better than someone.	5	5
It's wrong to not protect your partner.	3	4
You should be more respectful of authors and their books.	5	7
It is frightening to be the target of someone who is obsessed.	6	8
You're expected to get married if you're having a baby with someone.	7	8
It's expected that you enjoy the company of people.	7	5
If you love animals you are expected to take in animals from the shelter.	9	10
If you are not feeling well it is OK to come to work late sometimes.	3	6
You should prioritize your children over your pets	7	5
It's good to be accurate in your work.	7	7
It's wrong to drink if you're underage.	8	6
You shouldn't let your boss talk badly about your friends.	5	6
It's wrong to date your teacher.	8	10
It's acceptable for people have their own ideas about events.	6	4
It's fine to like loud music.	9	9
It's good to spend your time productively.	10	10
It's wrong not to consider other peoples needs.	3	4
It's good to wish people well.	5	6
You should tell someone if their partner is manipulating them.	4	7
It is stupid to prefer to be homeless.	9	4
You should practice good manners at your family's wedding.	3	4
It is controlling to decide who can have contact with a child.	7	5
It's okay to reach out when you want to off yourself.	4	5
People are expected to care for their loved ones.	4	6
It's good to have a husband.	4	7
You should always listen to your friends.	5	5
It's understandable to feel angry when someone betrays your trust.	8	3
You should end a relationship if you're interested in somebody else	4	7
You should not expect things to always stay the same	4	5
It's dangerous behavior not to stop at a yellow blinking traffic light.	3	4
It's wrong to not enjoy music or art.	8	6
If your partner ruins your things on purpose, you should break up with them.	8	7
It's understandable to want to keep some things private about yourself.	5	6
Playing excessive video games as an adult is considered a waste of time.	7	8
You should not interfere in other people's relationships	6	3
It's understandable to not allow your young child to change their name.	9	6
It's good to try clothes on before you buy them so you know they fit.	6	7
It's dishonest to keep something from a spouse that you know they'd want to know.	6	6
It's good to quit drinking if you have a problem.	8	7
You should limit the amount of harm you cause when there is nothing for you to gain.	5	5
You have the right to use your vote in any way that you like.	8	5
It's wrong to criticize others without reason.	8	6
You have a right to be angry with people cutting into line.	5	2
It's good to work on improving weak areas of your driving.	6	8
You should be a good employee so you can maintain your job to support yourself.	4	6
It is unconventional to drink water from soup bowl.	7	6
It is kind to sing for someone.	8	9
It's good to visit new places.	5	8
It is not okay to be nosy in neighbors' business.	6	10
You shouldn't blame things on a sibling.	6	6
You shouldn't take your partner to a nudist resort.	7	8
People will think you're a coward if you refuse to help others.	6	7
If you're an alcoholic, you should get some professional help.	6	7
It's important to support women who have made the tough decision to have an abortion.	7	8
It's okay to feel like you can't stop thinking about something.	10	10
You shouldn't get pregnant when you're a teen.	6	7
If you don't want to be somewhere anymore, you should leave.	7	4
It's good to be proud of your hard work.	4	5
It's okay to cut irresponsible people out of your life, even if they're close friends or family.	10	10
It's normal for people to be sent to jail if they break the law.	8	6
You should always do what makes you happy and not care what others think.	4	6
You should be happy for friends in good relationships rather than jealous.	6	9
It is good to make wise financial decisions	5	7
It is nice to help out a co worker.	6	7
People are expected to be confident.	10	10
You shouldn't stay in contact with your family's ex's.	5	5
It is good to have friends that you care about.	5	7
It's wrong to steal another person's private information.	5	7
You don't necessarily feel close to someone just because your SO loves them, and that's fine.	6	7
It's good to be thankful for things.	9	8
You shouldn't touch wild animals.	8	8
It's expected to look to the ground to make sure the path is clear.	4	6
It's good to be responsible with your finances.	10	7
It's understandable if you're depressed when you lose your job.	6	2
You shouldn't lie about things.	10	4
It's expected for kids to obey their parents.	4	8
